tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Copa do Brasil,Vasco Da Gama RJ,0.0,0.0,ABC,6.0,2.0,133.0,82.0,9.0,6.0,00:30:00,2023-03-17,0.0,0.0,DRAW,DRAW,8.0
Copa do Brasil,Gremio,3.0,0.0,Ferroviario,10.0,3.0,98.0,81.0,30.0,11.0,23:00:00,2023-03-16,3.0,-3.0,WON,LOST,13.0
Copa do Brasil,CSA,1.0,0.0,Brusque,4.0,4.0,105.0,136.0,10.0,13.0,22:00:00,2023-03-16,1.0,-1.0,WON,LOST,8.0
Copa do Brasil,Ypiranga RS,3.0,1.0,Bragantino,7.0,11.0,103.0,119.0,7.0,18.0,00:30:00,2023-03-16,2.0,-2.0,WON,LOST,18.0
Copa do Brasil,Botafogo RJ,7.0,1.0,Brasiliense,8.0,5.0,107.0,121.0,14.0,15.0,23:00:00,2023-03-15,6.0,-6.0,WON,LOST,13.0
Copa do Brasil,CRB,5.0,0.0,Operario MS,6.0,4.0,130.0,94.0,18.0,5.0,22:30:00,2023-03-15,5.0,-5.0,WON,LOST,10.0
Copa do Brasil,Ituano,1.0,1.0,Ceara,6.0,4.0,103.0,99.0,14.0,10.0,22:00:00,2023-03-15,0.0,0.0,DRAW,DRAW,10.0
Copa do Brasil,Aguia de Maraba,0.0,0.0,Goias,1.0,11.0,69.0,95.0,9.0,23.0,22:00:00,2023-03-15,0.0,0.0,DRAW,DRAW,12.0
Copa do Brasil,Atletico Goianiense,1.0,1.0,Volta Redonda,7.0,4.0,128.0,88.0,14.0,7.0,22:00:00,2023-03-15,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,Nova Iguacu,5.0,2.0,Nova Mutum,6.0,3.0,113.0,77.0,15.0,7.0,18:30:25,2023-03-15,3.0,-3.0,WON,LOST,9.0
Copa do Brasil,Tombense,1.0,0.0,Retro,6.0,6.0,110.0,111.0,14.0,11.0,00:30:00,2023-03-09,1.0,-1.0,WON,LOST,12.0
Copa do Brasil,Remo,2.0,1.0,Sao Luiz,10.0,3.0,122.0,99.0,16.0,7.0,23:00:00,2023-03-08,1.0,-1.0,WON,LOST,13.0
Copa do Brasil,Camboriu,0.0,1.0,EC Bahia,2.0,6.0,91.0,120.0,11.0,8.0,22:00:00,2023-03-08,-1.0,1.0,LOST,WON,8.0
Copa do Brasil,Brasil de Pelotas,2.0,0.0,Ponte Preta,4.0,7.0,83.0,94.0,5.0,24.0,23:00:00,2023-03-07,2.0,-2.0,WON,LOST,11.0
Copa do Brasil,Sergipe,1.0,1.0,Botafogo RJ,4.0,10.0,96.0,130.0,10.0,11.0,23:00:00,2023-03-02,0.0,0.0,DRAW,DRAW,14.0
Copa do Brasil,Maringa,2.0,1.0,Sampaio Correa,8.0,3.0,169.0,112.0,21.0,6.0,23:00:00,2023-03-02,1.0,-1.0,WON,LOST,11.0
Copa do Brasil,Iguatu,1.0,0.0,America RN,5.0,0.0,16.0,17.0,2.0,4.0,22:15:00,2023-03-02,1.0,-1.0,WON,LOST,5.0
Copa do Brasil,Real Ariquemes,0.0,3.0,Criciuma,5.0,7.0,99.0,115.0,6.0,12.0,19:30:00,2023-03-02,-3.0,3.0,LOST,WON,12.0
Copa do Brasil,Aguia de Maraba,2.0,1.0,Botafogo PB,5.0,4.0,59.0,44.0,12.0,6.0,19:00:00,2023-03-02,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Caldense,0.0,3.0,Ceara,10.0,2.0,106.0,82.0,16.0,13.0,00:30:00,2023-03-02,-3.0,3.0,LOST,WON,12.0
Copa do Brasil,Jacuipense,1.0,4.0,EC Bahia,4.0,6.0,135.0,117.0,10.0,17.0,00:30:00,2023-03-02,-3.0,3.0,LOST,WON,10.0
Copa do Brasil,Retro,3.0,2.0,Avai,10.0,5.0,106.0,97.0,14.0,8.0,00:30:00,2023-03-02,1.0,-1.0,WON,LOST,15.0
Copa do Brasil,Princesa do Solimoes,1.0,1.0,Ituano,4.0,0.0,167.0,105.0,15.0,6.0,00:00:00,2023-03-02,0.0,0.0,DRAW,DRAW,4.0
Copa do Brasil,Operario MS,1.0,0.0,Operario PR,2.0,9.0,90.0,132.0,6.0,11.0,00:00:00,2023-03-02,1.0,-1.0,WON,LOST,11.0
Copa do Brasil,Athletic Club MG,1.0,1.0,Brasiliense,3.0,1.0,173.0,77.0,13.0,5.0,23:56:22,2023-03-01,0.0,0.0,DRAW,DRAW,4.0
Copa do Brasil,Campinense Clube,0.0,2.0,Gremio,3.0,11.0,78.0,121.0,4.0,20.0,23:00:00,2023-03-01,-2.0,2.0,LOST,WON,14.0
Copa do Brasil,Uniao Rondonopolis,0.0,1.0,CRB,3.0,5.0,119.0,113.0,9.0,15.0,23:00:00,2023-03-01,-1.0,1.0,LOST,WON,8.0
Copa do Brasil,Camboriu,1.0,0.0,Manaus,3.0,7.0,97.0,101.0,14.0,8.0,23:00:00,2023-03-01,1.0,-1.0,WON,LOST,10.0
Copa do Brasil,Sao Bernardo,0.0,1.0,Nautico Capibaribe,5.0,0.0,176.0,108.0,25.0,5.0,23:00:00,2023-03-01,-1.0,1.0,LOST,WON,5.0
Copa do Brasil,Parnahyba,0.0,0.0,Botafogo SP,5.0,4.0,67.0,74.0,7.0,8.0,23:00:00,2023-03-01,0.0,0.0,DRAW,DRAW,9.0
Copa do Brasil,Cordino,0.0,2.0,Brasil de Pelotas,5.0,11.0,90.0,68.0,15.0,13.0,22:00:00,2023-03-01,-2.0,2.0,LOST,WON,16.0
Copa do Brasil,ASA,1.0,1.0,Goias,10.0,3.0,103.0,104.0,9.0,5.0,22:00:00,2023-03-01,0.0,0.0,DRAW,DRAW,13.0
Copa do Brasil,Atletico Alagoinhas,0.0,0.0,Atletico Goianiense,9.0,3.0,68.0,61.0,14.0,7.0,22:00:00,2023-03-01,0.0,0.0,DRAW,DRAW,12.0
Copa do Brasil,Bahia de Feira,1.0,1.0,Bragantino,1.0,8.0,97.0,151.0,5.0,27.0,22:00:00,2023-03-01,0.0,0.0,DRAW,DRAW,9.0
Copa do Brasil,tuntum EC,0.0,5.0,ABC,1.0,6.0,81.0,110.0,3.0,22.0,22:00:00,2023-03-01,-5.0,5.0,LOST,WON,7.0
Copa do Brasil,Nova Iguacu,2.0,0.0,Vitoria,3.0,2.0,139.0,96.0,24.0,6.0,18:30:00,2023-03-01,2.0,-2.0,WON,LOST,5.0
Copa do Brasil,Tuna Luso,0.0,1.0,CSA,3.0,5.0,79.0,67.0,22.0,5.0,18:30:00,2023-03-01,-1.0,1.0,LOST,WON,8.0
Copa do Brasil,Fluminense PI,0.0,4.0,Ponte Preta,2.0,9.0,152.0,139.0,4.0,16.0,00:30:00,2023-03-01,-4.0,4.0,LOST,WON,11.0
Copa do Brasil,Real Noroeste,1.0,1.0,Vila Nova,3.0,9.0,86.0,72.0,8.0,19.0,23:00:00,2023-02-28,0.0,0.0,DRAW,DRAW,12.0
